"Communities Participating in the National Flood Program",,,,,,,
"180424#","ADAMS COUNTY *","ADAMS COUNTY",="08/26/77",="08/03/81",="09/29/10",="08/03/81","No"
"180314#","ALBANY, TOWN OF","RANDOLPH COUNTY/DELAWARE COUNTY","11/23/73",="06/15/79",="03/04/13",="06/15/79","No"
"180184","ALBION, TOWN OF","NOBLE COUNTY",="06/07/74",,"(NSFHA)",="08/19/86","No"
"180149#","ALEXANDRIA, CITY OF","MADISON COUNTY","11/23/74",="07/02/81",="05/03/11",="07/02/81","No"
"180302#","ALLEN COUNTY *","ALLEN COUNTY",="02/27/76",="09/28/90","10/02/13",="09/28/90","No"
"180031#","ALTON, TOWN OF","CRAWFORD COUNTY",="01/23/74",="08/01/83",="08/01/83",="03/19/84","No"
"180045#","ALTONA, TOWN OF","DEKALB COUNTY",="09/20/74",="08/19/85",="09/29/06(M)",="08/19/85","No"
"180303#","AMBOY, TOWN OF","MIAMI COUNTY","11/29/74",="08/19/86",="09/28/12",="08/19/86","No"
"180530#","AMO, TOWN OF","HENDRICKS COUNTY",,="09/25/09",="09/25/09(M)","11/25/09","No"
"180150#","ANDERSON, CITY OF","MADISON COUNTY",="02/15/74","12/04/79",="06/09/14(>)","12/04/79","No"
"180097#","ANDREWS, TOWN OF","HUNTINGTON COUNTY",="04/02/76",="09/30/82",="09/30/82",="09/30/82","No"
"180244A","ANGOLA, CITY OF","STEUBEN COUNTY",="08/23/74",="06/17/86","12/17/13(M)",="06/17/86","No"
"180496#","ARCADIA, TOWN OF","HAMILTON COUNTY",="02/06/76",="08/16/88",="02/19/03","12/09/88","No"
"180489#","ARGOS, TOWN OF","MARSHALL COUNTY",,"11/16/11","(NSFHA)",="09/04/86","No"
"180065#","ATTICA, CITY OF","FOUNTAIN COUNTY","12/07/73",="09/01/88",="02/06/13(M)",="09/01/88","No"
"180046#","AUBURN, CITY OF","DEKALB COUNTY","12/21/73",="07/18/83",="09/29/06",="07/18/83","No"
"185172#","AURORA, CITY OF","DEARBORN COUNTY",,="04/06/73",="04/16/14",="04/06/73","No"
"180233A","AUSTIN, CITY OF","SCOTT COUNTY","11/23/73",="09/01/88",="06/09/14(>)",="09/01/88","No"
"180630#","AVILLA, TOWN OF","NOBLE COUNTY",,="01/03/79",="01/03/79",="06/05/13","No"
"180520#","AVON, TOWN OF","HENDRICKS COUNTY",,="09/25/09",="09/25/09",="09/25/09","No"
"180214#","BAINBRIDGE, TOWN OF","PUTNAM COUNTY",="07/19/74",="06/05/12","(NSFHA)",="01/03/85","No"
"180112#","BARGERSVILLE, TOWN OF","JOHNSON COUNTY","11/01/74",="08/02/07",="08/02/07",="07/21/78","No"
"180006#","BARTHOLOMEW COUNTY *","BARTHOLOMEW COUNTY",="09/20/74",="03/15/82",="03/15/82",="03/15/82","No"
"180507#","BATESVILLE, CITY OF","RIPLEY COUNTY/FRANKLIN COUNTY",,"11/02/95","(NSFHA)",="03/09/10","No"
"180252#","BATTLE GROUND, TOWN OF","TIPPECANOE COUNTY",="05/24/74",="01/02/81",="09/25/09",="01/02/81","No"
"180148#","BEDFORD, CITY OF","LAWRENCE COUNTY",="02/15/74",="09/04/87","12/03/10",="09/04/87","No"
"180158#","BEECH GROVE,CITY OF","MARION COUNTY",="05/17/74",="05/15/84",="07/05/05",="05/15/84","No"
,"THE CITIES OF BEECH GROVE, LAWRENCE, SOUTHPORT AND THE TOWN OF SPEEDWAY PARTICIPATE AS A PART OF THE UNIFIED GOVERNMENT OF THE CITY OF INDIANAPOLIS [180159], MARION COUNTY.  USE THE CITY OF INDIANAPOLIS  CID [180159] FOR THESE COMMUNITIES.",,,,,,
"180485#","BERNE, CITY OF","ADAMS COUNTY",,"10/16/03",="09/29/10(M)","10/09/81","No"
"185173","BEVERLY SHORES, TOWN OF","PORTER COUNTY",,="03/23/73","10/17/75",="03/23/73","No"
"180478#","BLACKFORD COUNTY*","BLACKFORD COUNTY",="01/02/81","11/01/94","11/01/94(L)","11/01/94","No"
"180169#","BLOOMINGTON, CITY OF","MONROE COUNTY",="06/21/74",="06/15/78","12/17/10",="06/15/78","No"
"180289#","BLUFFTON, CITY OF","WELLS COUNTY",="02/01/74",="07/18/83",="07/18/83",="07/18/83","No"
"180011#","BOONE COUNTY *","BOONE COUNTY","11/29/74",="09/16/82",="01/18/12",="09/16/82","No"
"180273#","BOONVILLE, CITY OF","WARRICK COUNTY","12/28/73",="05/17/82",="08/02/12",="06/25/82","No"
"180464#","BORDEN, TOWN OF","CLARK COUNTY",="04/18/80",="04/16/14",="04/16/14",="04/16/14","No"
,"PREVIOUSLY KNOWN AS THE TOWN OF NEW PROVIDENCE.",,,,,,
"180511#","BRAZIL, CITY OF","CLAY COUNTY",,="09/02/11",="09/02/11",="05/12/95","No"
"180163#","BREMEN, TOWN OF","MARSHALL COUNTY","11/23/73","10/15/81","11/16/11","10/15/81","No"
"180060#","BRISTOL, TOWN OF","ELKHART COUNTY","11/19/76",="04/16/79",="08/02/11",="04/16/79","No"
"180180#","BROOK, TOWN OF","NEWTON COUNTY","12/07/73",="09/01/86",="09/01/86(L)",="09/01/86","No"
"180402#","BROOKLYN, TOWN OF","MORGAN COUNTY","12/07/73",="09/17/80",="09/17/80",="09/17/80","No"
"180105#","BROOKSBURG, TOWN OF","JEFFERSON COUNTY","11/29/74","12/01/83","12/01/83","12/01/83","No"
"180512#","BROOKSTON, TOWN OF","WHITE COUNTY",,="01/08/14",="01/08/14",="01/08/14","No"
"180069#","BROOKVILLE, TOWN OF","FRANKLIN COUNTY","12/07/73","11/15/84",="01/16/14","11/15/84","No"
"185174#","BROWN COUNTY*","BROWN COUNTY",,="04/13/73",="01/03/86",="04/13/73","No"
"180087#","BROWNSBURG, TOWN OF","HENDRICKS COUNTY","11/23/73",="04/01/80",="09/25/09",="04/17/80","No"
"180317#","BROWNSTOWN, TOWN OF","JACKSON COUNTY","11/23/73",="09/06/96",="09/06/96",="01/03/85","No"
"180318","BURLINGTON,TOWN OF","CARROLL COUNTY","11/23/73",,"(NSFHA)",="06/08/84","No"
"180207","BURNS HARBOR, TOWN OF","PORTER COUNTY",="06/07/74",,="06/01/81",="08/04/88","No"
"180047#","BUTLER, CITY OF","DEKALB COUNTY","10/03/75",="08/19/85",="09/29/06(M)",="08/19/85","No"
"180281#","CAMBRIDGE CITY, TOWN OF","WAYNE COUNTY",="06/11/76","10/15/81","10/15/81","10/15/81","No"
"180196#","CANNELTON, CITY OF","PERRY COUNTY","11/30/73",="07/18/83",="07/18/83",="07/18/83","No"
"180081#","CARMEL, CITY OF","HAMILTON COUNTY",="08/09/74",="05/19/81",="02/19/03",="05/19/81","No"
,"INCLUDES THE TOWNSHIP OF CLAY",,,,,,
"180019#","CARROLL COUNTY *","CARROLL COUNTY","10/18/74","11/15/89","11/15/89","11/15/89","No"
"180222#","CARTHAGE, TOWN OF","RUSH COUNTY","11/23/73","11/02/83","11/02/83","11/02/83","No"
"180022#","CASS COUNTY *","CASS COUNTY",="01/10/75",="08/03/81",="08/03/81",="08/03/81","No"
"180304#","CEDAR GROVE, TOWN OF","FRANKLIN COUNTY","12/07/73",="08/05/86",="01/16/14",="08/05/86","No"
"180127#","CEDAR LAKE, TOWN OF","LAKE COUNTY","12/28/73",="03/15/82",="01/18/12(M)",="03/15/82","No"
"180624#","CENTERVILLE, TOWN OF","WAYNE COUNTY",,="09/02/82",="09/02/82",="04/16/14","No"
"180297#","CHALMERS, TOWN OF","WHITE COUNTY","11/08/74",="01/08/14","(NSFHA)",="05/25/78","No"
"180274#","CHANDLER, TOWN OF","WARRICK COUNTY",="01/09/74",="09/28/79",="08/02/12",="09/28/79","No"
"180025#","CHARLESTOWN, CITY OF","CLARK COUNTY",="04/12/74","11/15/79",="04/16/14","11/15/79","No"
"180151#","CHESTERFIELD, TOWN OF","MADISON COUNTY","12/17/74",="05/01/80",="06/09/14(>)",="05/01/80","No"
"180201#","CHESTERTON, TOWN OF","PORTER COUNTY","10/24/75",="02/01/80",="03/15/84",="02/01/80","No"
"180299","CHURUBUSCO, TOWN OF","WHITLEY COUNTY",="05/31/74",,"(NSFHA)",="05/25/78","No"
"180320#","CICERO, TOWN OF","HAMILTON COUNTY",="02/01/74",="01/02/80",="02/19/03",="01/02/80","No"
,"INCLUDES TOWNSHIP OF JACKSON",,,,,,
"180426#","CLARK COUNTY *","CLARK COUNTY",="02/24/78",="09/30/80",="04/16/14",="09/30/80","No"
"180026#","CLARKSVILLE, TOWN OF","CLARK COUNTY",="06/14/74",="08/03/81",="04/16/14",="08/03/81","No"
"180408#","CLAY COUNTY *","CLAY COUNTY","11/25/77",="05/01/10",="09/02/11",="05/01/10","No"
,"CLAY COUNTY, INDIANA, RECEIVED A CONVERSION OF THE FHBM TO A FIRM BY LETTER EFFECTIVE MAY 1, 2010.  THIS WILL BE REFLECTED IN THE NEXT MAP SERVICE CENTER UPDATE.",,,,,,
"180247#","CLEAR LAKE, TOWN OF","STEUBEN COUNTY","12/06/74","12/17/13","12/17/13(M)",="05/25/84","No"
"180029#","CLINTON COUNTY *","CLINTON COUNTY","12/13/74",="09/01/88","12/02/11",="09/01/88","No"
"180259#","CLINTON, CITY OF","VERMILLION COUNTY","11/23/73",="07/01/87",="02/05/14",="07/01/87","No"
"180215#","CLOVERDALE, TOWN OF","PUTNAM COUNTY",="06/07/74",="06/17/86",="06/05/12(M)",="06/17/86","No"
"180531#","COATESVILLE, TOWN OF","HENDRICKS COUNTY",,="09/25/09","(NSFHA)","11/25/09","No"
"180300","COLUMBIA CITY, CITY OF","WHITLEY COUNTY","12/17/73",="01/05/79",="01/05/79(M)",="01/05/79","No"
"180007#","COLUMBUS, CITY OF","BARTHOLOMEW COUNTY","12/07/73",="07/19/82",="02/19/97",="07/19/82","No"
"180061","CONNERSVILLE, CITY OF","FAYETTE COUNTY","11/23/73",="08/01/95",="08/01/95(L)",="08/01/95","No"
"180497#","CONVERSE, TOWN OF","GRANT COUNTY/MIAMI COUNTY",,="04/05/88",="09/28/12",="02/13/09","No"
"180086#","CORYDON, TOWN OF","HARRISON COUNTY","11/23/73",="07/18/83",="07/18/83",="07/18/83","No"
"180416","CRANDALL, TOWN OF","HARRISON COUNTY",="06/10/77","12/07/84","12/07/84(M)","12/07/84","No"
"180472#","CRAWFORD COUNTY*","CRAWFORD COUNTY",="02/06/81",="01/17/86",="01/17/86",="01/17/86","No"
"180171#","CRAWFORDSVILLE, CITY OF","MONTGOMERY COUNTY",="01/18/74",="02/01/94",="02/02/12",="02/01/94","No"
"180378","CROTHERSVILLE, TOWN OF","JACKSON COUNTY",="08/01/75",,"(NSFHA)",="01/03/85","No"
"180128#","CROWN POINT, CITY OF","LAKE COUNTY","11/23/73",="03/18/80",="01/18/12",="03/18/80","No"
"180384#","CULVER, TOWN OF","MARSHALL COUNTY",="02/21/75",="05/02/80","11/16/11(M)",="05/02/80","No"
"180510#","CUMBERLAND, TOWN OF","HANCOCK COUNTY",,"12/04/07",="03/17/14",="03/10/93","No"
,"USE THE HANCOCK COUNTY [180419] FIRM",,,,,,
"180260#","DANA, TOWN OF","VERMILLION COUNTY","11/08/74",="06/11/76","(NSFHA)",="06/11/76","No"
"180088#","DANVILLE, TOWN OF","HENDRICKS COUNTY","12/14/73","11/15/79",="09/25/09","11/15/79","No"
"180321#","DARLINGTON, TOWN OF","MONTGOMERY COUNTY",="01/25/74",="02/02/12",="02/02/12(M)",="05/25/78","No"
"180433#","DAVIESS COUNTY *","DAVIESS COUNTY",="05/05/78",,="05/05/78",="09/29/08(E)","No"
"180486#","DAYTON, TOWN OF","TIPPECANOE COUNTY",,="09/25/09",="09/25/09",="02/12/82","No"
"180044#","DE KALB COUNTY *","DEKALB COUNTY","12/06/74",="01/05/89",="09/29/06",="01/05/89","No"
"180038#","DEARBORN COUNTY *","DEARBORN COUNTY",="04/07/78",="09/16/82",="04/16/14",="09/16/82","No"
"180430#","DECATUR COUNTY *","DECATUR COUNTY",="01/20/78","11/16/83","10/16/13","11/16/83","No"
"180001#","DECATUR, CITY OF","ADAMS COUNTY","11/23/73",="07/02/81",="09/29/10",="07/02/81","No"
"180322#","DECKER, TOWN OF","KNOX COUNTY",="02/01/74","11/09/79",="09/16/82(M)","11/09/79","No"
"180051#","DELAWARE COUNTY*","DELAWARE COUNTY","11/29/74",="03/16/81",="07/04/11",="03/16/81","No"
"180020","DELPHI, CITY OF","CARROLL COUNTY","11/23/73",="08/01/95",="08/01/95(L)",="08/01/95","No"
"180100","DEMOTTE, TOWN OF","JASPER COUNTY",="02/15/74",,"(NSFHA)",="09/01/76","No"
"180625#","DUBLIN, TOWN OF","WAYNE COUNTY",,="09/02/82",="09/02/82",="08/12/11","No"
,"Town of Dublin is shown as Area Not Included on the Wayne County FIRM Panels 1802800100B, and ",,,,,,
,"1802800175B. The Town of Dublin has extraterritorial jurisdiction and regulates land in portions of Wayne County, Indiana, on the referenced FIRM panels.",,,,,,
