Lease Number,Current Expiration Date,Lease Initial Effective Date,Location Code,Lease ANSI Rentable Sqft,Lease Usable Sqft,Lse Structured Parking Spaces,Lse Surface Parking Spaces,Lease Annual Rent Amount,Lease Responsibility,Lessor Name,Lessor In-Care-Of,Lessor Address 1,Lessor Address 2,Lessor Country,Lessor State,Lessor Zip Code,Lessor County,Lessor City              
LCT04726,30-Sep-2014,01-Oct-2009,CT0028,349.000000,349.000000,0,0,5328.390000,LESSOR,"UNITED STATES POSTAL SERVICE","GABRIEL BENVENUTO,REALTY ASSET PRG","2825 LONE OAK PKWY","","US",MN,55121-1551,"RAMSEY","ST PAUL"
LCT04727,30-Sep-2014,01-Oct-2009,CT0047,7442.000000,7442.000000,2,0,107134.260000,LESSOR,"UNITED STATES POSTAL SERVICE","GABRIEL BENVENUTO,REALTY ASSET PRG","2825 LONE OAK PKWY","","US",MN,55121-1551,"RAMSEY","ST PAUL"
LCT04728,30-Sep-2014,01-Oct-2009,CT0049,198.000000,198.000000,0,0,2835.750000,LESSOR,"UNITED STATES POSTAL SERVICE","GABRIEL BENVENUTO,REALTY ASSET PRG","2825 LONE OAK PKWY","","US",MN,55121-1551,"RAMSEY","ST PAUL"
LCT04090,31-Mar-2011,01-Apr-2000,CT3171,4600.000000,4000.000000,5,0,98141.300000,LESSOR,"NORWICH HARBORVIEW CORPORATION","C/O US PROPERTIES,INC","5 SHAW'S COVE,SUITE 200","","US",CT,06320-4974,"NEW LONDON","NEW LONDON"
LCT04111,30-Sep-2010,01-Jul-1999,CT3213,3680.000000,3200.000000,5,0,61934.070000,LESSOR,"SMITH BUILDING ASSOCIATES,LLC","","313 MAIN STREET","","US",CT,06401-0000,"NEW HAVEN","ANSONIA"
LCT04760,28-Feb-2015,01-Mar-2010,CT3274,2817.000000,2541.000000,0,1,44052.240000,LESSOR,"THE CARPENTER REALTY","","67 RACE STREET","","US",CT,06010-4906,"HARTFORD","BRISTOL"
LCT04153,30-Nov-2010,01-Sep-1998,CT3282,5182.000000,4410.000000,0,0,147870.410000,LESSOR,"RITZ REALTY CORPORATION","ERIC BELINER","THREE NEW YORK PLAZA","","US",NY,10004-0000,"NEW YORK","NEW YORK-MANHATTAN"
LCT04163,30-Nov-2010,01-Sep-1998,CT3282,21241.000000,18526.000000,0,0,468326.490000,LESSOR,"RITZ REALTY CORPORATION","ERIC BERLINER","80 CUTTER MILL ROAD","SUITE 411","US",NY,11021-0000,"NASSAU","GREAT NECK"
LCT04256,23-Mar-2013,24-Mar-2003,CT3290,13115.000000,11710.000000,0,44,260602.180000,LESSOR,"B&H MANAGEMENT,LLC","P.O.B. 040-313","PARKVILLE STATION","","US",NY,11204-0004,"KINGS","NEW YORK-KINGS"
LCT04220,30-Apr-2011,01-May-2003,CT3298,11182.000000,9724.000000,2,0,295998.890000,LESSOR,"GRUNBERG,280 TRUMBULL,LLC","","15 WEST 55TH STREET,SUITE 3A","NEW YORK,NY 10019","US",NY,10019-0000,"NEW YORK","NEW YORK-MANHATTAN"
